claim_id,entity_id,claim_type,claim_value,confidence,source_id,review_status
CLM_00044,ENT_PHANES,domain,revelation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00045,ENT_PHANES,tag,orphic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00046,ENT_PHANES,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00047,ENT_THESIS,domain,creation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00048,ENT_THESIS,domain,generation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00049,ENT_THESIS,tag,orphic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00050,ENT_THESIS,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00051,ENT_HYDROS,domain,primordial water,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00052,ENT_HYDROS,tag,orphic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00053,ENT_HYDROS,tag,water,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00054,ENT_PHYSIS,domain,nature,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00055,ENT_PHYSIS,tag,personification,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00056,ENT_PHYSIS,tag,nature,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00057,ENT_OUREA,domain,mountains,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00058,ENT_OUREA,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00059,ENT_OUREA,tag,mountain,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00060,ENT_NESOI,domain,islands,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00061,ENT_NESOI,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00062,ENT_NESOI,tag,landform,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00063,ENT_THALASSA,domain,sea,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00064,ENT_THALASSA,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00065,ENT_THALASSA,tag,sea,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00066,ENT_OPHION,domain,cosmic serpent,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00067,ENT_OPHION,domain,early ruler,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00068,ENT_OPHION,tag,orphic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00069,ENT_OPHION,tag,serpent,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00070,ENT_EURYNOME_PRIMORDIAL,domain,creation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00071,ENT_EURYNOME_PRIMORDIAL,domain,sea,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00072,ENT_EURYNOME_PRIMORDIAL,tag,creation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00073,ENT_EURYNOME_PRIMORDIAL,tag,sea,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00074,ENT_MOROS,domain,doom,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00075,ENT_MOROS,tag,fate,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00076,ENT_MOROS,tag,daimon,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00077,ENT_KER,domain,violent death,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00078,ENT_KER,tag,death,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00079,ENT_KER,tag,daimon,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00080,ENT_MOIRAI,domain,fate,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00081,ENT_MOIRAI,tag,fate,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00082,ENT_MOIRAI,tag,collective,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00083,ENT_HESPERUS,domain,evening star,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00084,ENT_HESPERUS,tag,star,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00085,ENT_EOSPHORUS,domain,morning star,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00086,ENT_EOSPHORUS,tag,star,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00087,ENT_SELENE,domain,moon,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00088,ENT_SELENE,tag,titanic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00089,ENT_SELENE,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00090,ENT_HELIOS,domain,sun,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00091,ENT_HELIOS,tag,titanic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00092,ENT_HELIOS,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00093,ENT_EOS,domain,dawn,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00094,ENT_EOS,tag,titanic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00095,ENT_EOS,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00096,ENT_CRONUS,domain,kingship,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00097,ENT_CRONUS,domain,harvest/time by later association,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00098,ENT_CRONUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00099,ENT_RHEA,domain,motherhood,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00100,ENT_RHEA,domain,mountains,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00101,ENT_RHEA,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00102,ENT_RHEA,tag,mother goddess,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00103,ENT_OCEANUS,domain,world river,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00104,ENT_OCEANUS,domain,fresh waters,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00105,ENT_OCEANUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00106,ENT_OCEANUS,tag,water,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00107,ENT_TETHYS,domain,nursing waters,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00108,ENT_TETHYS,domain,fresh waters,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00109,ENT_TETHYS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00110,ENT_TETHYS,tag,water,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00111,ENT_HYPERION,domain,light,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00112,ENT_HYPERION,domain,sun ancestry,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00113,ENT_HYPERION,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00114,ENT_HYPERION,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00115,ENT_THEIA,domain,sight,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00116,ENT_THEIA,domain,shining light,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00117,ENT_THEIA,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00118,ENT_THEIA,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00119,ENT_COEUS,domain,axis of heaven,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00120,ENT_COEUS,domain,intelligence,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00121,ENT_COEUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00122,ENT_PHOEBE,domain,prophecy,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00123,ENT_PHOEBE,domain,radiance,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00124,ENT_PHOEBE,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00125,ENT_PHOEBE,tag,oracle,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00126,ENT_CRIUS,domain,constellations,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00127,ENT_CRIUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00128,ENT_CRIUS,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00129,ENT_EURYBIA,domain,sea power,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00130,ENT_EURYBIA,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00131,ENT_EURYBIA,tag,sea,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00132,ENT_IAPETUS,domain,mortality,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00133,ENT_IAPETUS,domain,ancestor of mankind,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00134,ENT_IAPETUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00135,ENT_CLYMENE_TITANESS,domain,renown,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00136,ENT_CLYMENE_TITANESS,domain,mother of Prometheus,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00137,ENT_CLYMENE_TITANESS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00138,ENT_MNEMOSYNE,domain,memory,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00139,ENT_MNEMOSYNE,domain,muses,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00140,ENT_MNEMOSYNE,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00141,ENT_MNEMOSYNE,tag,inspiration,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00142,ENT_THEMIS,domain,law,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00143,ENT_THEMIS,domain,divine order,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00144,ENT_THEMIS,domain,oracles,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00145,ENT_THEMIS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00146,ENT_THEMIS,tag,justice,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00147,ENT_ASTERIA,domain,stars,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00148,ENT_ASTERIA,domain,night prophecy,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00149,ENT_ASTERIA,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00150,ENT_ASTERIA,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00151,ENT_LETO,domain,motherhood,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00152,ENT_LETO,domain,Apollo and Artemis,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00153,ENT_LETO,tag,titaness,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00154,ENT_ATLAS,domain,sky-bearing,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00155,ENT_ATLAS,domain,endurance,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00156,ENT_ATLAS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00157,ENT_ATLAS,tag,cosmic,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00158,ENT_PROMETHEUS,domain,forethought,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00159,ENT_PROMETHEUS,domain,fire,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00160,ENT_PROMETHEUS,domain,human culture,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00161,ENT_PROMETHEUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00162,ENT_PROMETHEUS,tag,culture hero,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00163,ENT_EPIMETHEUS,domain,afterthought,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00164,ENT_EPIMETHEUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00165,ENT_MENOETIUS,domain,violent anger,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00166,ENT_MENOETIUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00167,ENT_PERSES_TITAN,domain,destruction,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00168,ENT_PERSES_TITAN,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00169,ENT_PALLAS_TITAN,domain,warcraft,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00170,ENT_PALLAS_TITAN,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00171,ENT_ASTRAEUS,domain,stars,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00172,ENT_ASTRAEUS,domain,winds,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00173,ENT_ASTRAEUS,tag,titan,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00174,ENT_ASTRAEUS,tag,celestial,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00175,ENT_DIONE,domain,oracular goddess,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00176,ENT_DIONE,domain,mother of Aphrodite traditions,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00177,ENT_DIONE,tag,titaness,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00178,ENT_DIONE,tag,oracle,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00179,ENT_ZEUS,domain,sky,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00180,ENT_ZEUS,domain,weather,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00181,ENT_ZEUS,domain,kingship,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00182,ENT_ZEUS,domain,law,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00183,ENT_ZEUS,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00184,ENT_ZEUS,tag,major cult,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00185,ENT_HERA,domain,marriage,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00186,ENT_HERA,domain,queenship,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00187,ENT_HERA,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00188,ENT_HERA,tag,major cult,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00189,ENT_POSEIDON,domain,sea,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00190,ENT_POSEIDON,domain,earthquakes,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00191,ENT_POSEIDON,domain,horses,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00192,ENT_POSEIDON,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00193,ENT_POSEIDON,tag,earth-shaker,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00194,ENT_DEMETER,domain,grain,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00195,ENT_DEMETER,domain,agriculture,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00196,ENT_DEMETER,domain,mystery cult,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00197,ENT_DEMETER,tag,olympian,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00198,ENT_DEMETER,tag,earth,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00199,ENT_DEMETER,tag,eleusinian,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00200,ENT_PERSEPHONE,domain,underworld,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00201,ENT_PERSEPHONE,domain,vegetation cycle,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00202,ENT_PERSEPHONE,domain,queen of dead,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00203,ENT_PERSEPHONE,tag,chthonic,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00204,ENT_PERSEPHONE,tag,eleusinian,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00205,ENT_HADES,domain,underworld,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00206,ENT_HADES,domain,dead,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00207,ENT_HADES,tag,chthonic,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00208,ENT_HADES,tag,major,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00209,ENT_PLOUTON,domain,underground wealth,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00210,ENT_PLOUTON,domain,fertility,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00211,ENT_PLOUTON,tag,chthonic,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00212,ENT_PLOUTON,tag,wealth,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00213,ENT_PLOUTON,tag,cult title,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00214,ENT_ATHENA,domain,wisdom,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00215,ENT_ATHENA,domain,warcraft,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00216,ENT_ATHENA,domain,city protection,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00217,ENT_ATHENA,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00218,ENT_ATHENA,tag,major cult,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00219,ENT_APOLLO,domain,prophecy,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00220,ENT_APOLLO,domain,music,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00221,ENT_APOLLO,domain,healing,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00222,ENT_APOLLO,domain,purification,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00223,ENT_APOLLO,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00224,ENT_APOLLO,tag,oracle,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00225,ENT_ARTEMIS,domain,hunting,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00226,ENT_ARTEMIS,domain,wilderness,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00227,ENT_ARTEMIS,domain,childbirth,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00228,ENT_ARTEMIS,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00229,ENT_ARTEMIS,tag,wilderness,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00230,ENT_ARES,domain,war,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00231,ENT_ARES,domain,battle fury,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00232,ENT_ARES,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00233,ENT_APHRODITE,domain,love,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00234,ENT_APHRODITE,domain,beauty,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00235,ENT_APHRODITE,domain,fertility,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00236,ENT_APHRODITE,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00237,ENT_HEPHAESTUS,domain,smithing,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00238,ENT_HEPHAESTUS,domain,metalwork,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00239,ENT_HEPHAESTUS,domain,fire craft,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00240,ENT_HEPHAESTUS,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00241,ENT_HEPHAESTUS,tag,craft,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00242,ENT_HEPHAESTUS,tag,metals,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00243,ENT_HERMES,domain,travel,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00244,ENT_HERMES,domain,commerce,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00245,ENT_HERMES,domain,herds,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00246,ENT_HERMES,domain,psychopomp,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00247,ENT_HERMES,tag,olympian,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00248,ENT_HERMES,tag,psychopomp,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00249,ENT_DIONYSUS,domain,wine,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00250,ENT_DIONYSUS,domain,ecstasy,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00251,ENT_DIONYSUS,domain,vegetation,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00252,ENT_DIONYSUS,domain,rebirth,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00253,ENT_DIONYSUS,tag,mystery,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00254,ENT_DIONYSUS,tag,vegetation,A,SRC_THEOI_AGRICULTURE,candidate_verified_name
CLM_00255,ENT_HESTIA,domain,hearth,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00256,ENT_HESTIA,domain,household fire,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00257,ENT_HESTIA,tag,olympian,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00258,ENT_HESTIA,tag,domestic cult,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00259,ENT_PAN,domain,mountains,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00260,ENT_PAN,domain,shepherds,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00261,ENT_PAN,domain,wild nature,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00262,ENT_PAN,tag,rustic,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00263,ENT_PAN,tag,mountain,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00264,ENT_HECATE,domain,crossroads,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00265,ENT_HECATE,domain,magic,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00266,ENT_HECATE,domain,spirits,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00267,ENT_HECATE,domain,thresholds,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00268,ENT_HECATE,tag,chthonic,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00269,ENT_HECATE,tag,magic,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00270,ENT_HECATE,tag,liminal,A,SRC_THEOI_UNDERWORLD,candidate_verified_name
CLM_00271,ENT_ASCLEPIUS,domain,medicine,A,SRC_THEOI_DEIFIED,candidate_verified_name
CLM_00272,ENT_ASCLEPIUS,domain,dream healing,A,SRC_THEOI_DEIFIED,candidate_verified_name
CLM_00273,ENT_ASCLEPIUS,domain,incubation,A,SRC_THEOI_DEIFIED,candidate_verified_name
CLM_00274,ENT_ASCLEPIUS,tag,healing,A,SRC_THEOI_DEIFIED,candidate_verified_name
CLM_00275,ENT_ASCLEPIUS,tag,apotheosis,A,SRC_THEOI_DEIFIED,candidate_verified_name
CLM_00276,ENT_EILEITHYIA,domain,childbirth,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00277,ENT_EILEITHYIA,tag,birth cult,A,SRC_THEOI_GODS,candidate_verified_name
CLM_00278,ENT_IRIS,domain,rainbow,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00279,ENT_IRIS,domain,divine messenger,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00280,ENT_IRIS,tag,messenger,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00281,ENT_NIKE,domain,victory,A,SRC_THEOI_GODS,candidate_verified_name
