source_entity,source_tradition,source_category,source_domains,christian_parallel,christian_tradition,christian_category,christian_domains
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Nicholas,Christian,Saint,generosity; children; sailors; protection; gifts
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Nicholas,Christian,Saint,generosity; children; sailors; protection; gifts
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Powers,Christian,Angelic Collective,cosmic powers; protection; spiritual warfare
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Powers,Christian,Angelic Collective,cosmic powers; protection; spiritual warfare
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Sar Torah,Jewish Mystical,Angelic Being,Torah; wisdom; revelation; heavenly knowledge
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Sraosha,Zoroastrian,Angelic Being,obedience; prayer; protection; ritual
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Sraosha,Zoroastrian,Angelic Being,obedience; prayer; protection; ritual
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Uriel,Israelite/Second Temple,Angelic Being,angel; light; revelation; cosmic knowledge
Asclepius,Greek,Healing Figure,medicine; dream healing; incubation,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Asclepius,Greek,Healing Figure,medicine; dream healing; incubation,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Asclepius,Greek,Healing Figure,medicine; dream healing; incubation,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Asclepius,Greek,Healing Figure,medicine; dream healing; incubation,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Asclepius,Greek,Healing Figure,medicine; dream healing; incubation,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Abdal,Islamic/Sufi,Holy Figure,hidden saints; substitution; protection; cosmic order
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Archangels,Christian,Angelic Collective,archangels; revelation; protection; heavenly mediation
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Benedict of Nursia,Christian,Saint,monasticism; rule; protection; order
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,George,Christian,Saint,martyrdom; dragon-slaying; protection; military patronage
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Guardian Angels,Christian,Angelic Collective,protection; guidance; personal guardianship
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Joseph,Christian,Saint,carpentry; family; protection; labor
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Mary Theotokos,Christian,Holy Figure,Theotokos; intercession; motherhood; protection
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Michael the Archangel,Christian,Angelic Being,protection; warfare; judgment; archangel
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Nicholas,Christian,Saint,generosity; children; sailors; protection; gifts
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Powers,Christian,Angelic Collective,cosmic powers; protection; spiritual warfare
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Curetes,Greek,Protective Being,ecstatic dance; protection; infancy of Zeus; mountain rites,Sraosha,Zoroastrian,Angelic Being,obedience; prayer; protection; ritual
Dian Cécht,Celtic/Irish,Healing Figure,healing; medicine; restoration,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Dian Cécht,Celtic/Irish,Healing Figure,healing; medicine; restoration,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Dian Cécht,Celtic/Irish,Healing Figure,healing; medicine; restoration,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Dian Cécht,Celtic/Irish,Healing Figure,healing; medicine; restoration,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Dian Cécht,Celtic/Irish,Healing Figure,healing; medicine; restoration,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Epione,Greek,Healing Figure,soothing pain; healing; Asclepian cult,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Epione,Greek,Healing Figure,soothing pain; healing; Asclepian cult,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Epione,Greek,Healing Figure,soothing pain; healing; Asclepian cult,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Epione,Greek,Healing Figure,soothing pain; healing; Asclepian cult,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Epione,Greek,Healing Figure,soothing pain; healing; Asclepian cult,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Hygieia,Greek,Healing Figure,health; prevention; healing; Asclepian cult,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Hygieia,Greek,Healing Figure,health; prevention; healing; Asclepian cult,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Hygieia,Greek,Healing Figure,health; prevention; healing; Asclepian cult,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Hygieia,Greek,Healing Figure,health; prevention; healing; Asclepian cult,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Hygieia,Greek,Healing Figure,health; prevention; healing; Asclepian cult,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Iaso,Greek,Healing Figure,recovery; healing; remedy,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Iaso,Greek,Healing Figure,recovery; healing; remedy,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Iaso,Greek,Healing Figure,recovery; healing; remedy,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Iaso,Greek,Healing Figure,recovery; healing; remedy,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Iaso,Greek,Healing Figure,recovery; healing; remedy,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Machaon,Greek,Healing Figure,medicine; surgery; heroic healing,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Machaon,Greek,Healing Figure,medicine; surgery; heroic healing,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Machaon,Greek,Healing Figure,medicine; surgery; heroic healing,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Machaon,Greek,Healing Figure,medicine; surgery; heroic healing,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Machaon,Greek,Healing Figure,medicine; surgery; heroic healing,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Panacea,Greek,Healing Figure,universal remedy; healing; Asclepian cult,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Panacea,Greek,Healing Figure,universal remedy; healing; Asclepian cult,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Panacea,Greek,Healing Figure,universal remedy; healing; Asclepian cult,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Panacea,Greek,Healing Figure,universal remedy; healing; Asclepian cult,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Panacea,Greek,Healing Figure,universal remedy; healing; Asclepian cult,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Podalirius,Greek,Healing Figure,medicine; diagnosis; heroic healing,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Podalirius,Greek,Healing Figure,medicine; diagnosis; heroic healing,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Podalirius,Greek,Healing Figure,medicine; diagnosis; heroic healing,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Podalirius,Greek,Healing Figure,medicine; diagnosis; heroic healing,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Podalirius,Greek,Healing Figure,medicine; diagnosis; heroic healing,Roch,Christian,Saint,plague; healing; pilgrimage; protection
