entity_id,name,name_type,language,source_id
ENT_DEMETER,Demeter,canonical,English/Latinized,SRC_THEOI_AGRICULTURE
ENT_PERSEPHONE,Persephone,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_HADES,Hades,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_PLOUTON,Plouton,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_ATHENA,Athena,canonical,English/Latinized,SRC_THEOI_GODS
ENT_APOLLO,Apollo,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ARTEMIS,Artemis,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ARES,Ares,canonical,English/Latinized,SRC_THEOI_GODS
ENT_APHRODITE,Aphrodite,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HEPHAESTUS,Hephaestus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HERMES,Hermes,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_DIONYSUS,Dionysus,canonical,English/Latinized,SRC_THEOI_AGRICULTURE
ENT_HESTIA,Hestia,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PAN,Pan,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HECATE,Hecate,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_ASCLEPIUS,Asclepius,canonical,English/Latinized,SRC_THEOI_DEIFIED
ENT_EILEITHYIA,Eileithyia,canonical,English/Latinized,SRC_THEOI_GODS
ENT_IRIS,Iris,canonical,English/Latinized,SRC_THEOI_GODS
ENT_NIKE,Nike,canonical,English/Latinized,SRC_THEOI_GODS
ENT_TYCHE,Tyche,canonical,English/Latinized,SRC_THEOI_GODS
ENT_NEMESIS,Nemesis,canonical,English/Latinized,SRC_THEOI_GODS
ENT_DIKE,Dike,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EIRENE,Eirene,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EUNOMIA,Eunomia,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HORAE,Horae,canonical,English/Latinized,SRC_THEOI_GODS
ENT_CHARITES,Charites,canonical,English/Latinized,SRC_THEOI_GODS
ENT_MUSES,Muses,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ERINYES,Erinyes,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_MOIRAI_85,Moirai,canonical,English/Latinized,SRC_THEOI_GODS
ENT_KOURETES,Kouretes,canonical,English/Latinized,SRC_THEOI_GODS
ENT_KORYBANTES,Korybantes,canonical,English/Latinized,SRC_THEOI_GODS
ENT_CABEIRI,Cabeiri,canonical,English/Latinized,SRC_THEOI_AGRICULTURE
ENT_DIOSCURI,Dioscuri,canonical,English/Latinized,SRC_THEOI_DEIFIED
ENT_ACHERON,Acheron,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_COCYTUS,Cocytus,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_LETHE,Lethe,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_PHLEGETHON,Phlegethon,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_STYX,Styx,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_CHARON,Charon,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_THANATOS,Thanatos,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_HYPNOS,Hypnos,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_ONEIROI,Oneiroi,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_MORPHEUS,Morpheus,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_PHOBETOR,Phobetor,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_PHANTASOS,Phantasos,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_EMPUSA,Empusa,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_EURYNOMOS,Eurynomos,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_MORMOLYKEIA,Mormolykeia,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_KERES,Keres,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_ACHLYS,Achlys,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_MACARIA,Macaria,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_MELINOE,Melinoe,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_ZAGREUS,Zagreus,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_BRIMO,Brimo,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_DESPOINA,Despoina,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_AEACUS,Aeacus,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_MINOS,Minos,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_RHADAMANTHYS,Rhadamanthys,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_ASCALAPHUS,Ascalaphus,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_LEUCE,Leuce,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_MINTHE,Minthe,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_HADES_KLYMENOS,Hades Klymenos,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_TROPHONIUS,Trophonius,canonical,English/Latinized,SRC_THEOI_DEIFIED
ENT_AMPHIARAUS,Amphiaraus,canonical,English/Latinized,SRC_THEOI_DEIFIED
ENT_GLYCON,Glycon,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PYTHON,Python,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_AGATHOS_DAIMON,Agathos Daimon,canonical,English/Latinized,SRC_THEOI_UNDERWORLD
ENT_AIDOS,Aidos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ALGEA,Algea,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ALKE,Alke,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_AMECHANIA,Amechania,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_AMPHILOGIAI,Amphilogiai,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_APATE,Apate,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ARETE,Arete,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_AT,Atë,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_BIA,Bia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_CAERUS,Caerus,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_DEIMOS,Deimos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_DOLOS,Dolos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_DYSNOMIA,Dysnomia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ELPIS,Elpis,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ENYO,Enyo,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ERIS,Eris,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_EROS,Eros,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_GERAS,Geras,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_HARMONIA,Harmonia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_HEDONE,Hedone,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_HIMEROS,Himeros,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_HOMONOIA,Homonoia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_HYBRIS,Hybris,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_HYSMINAI,Hysminai,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_IOKE,Ioke,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_KRATOS,Kratos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_KYDOIMOS,Kydoimos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_LETHE_151,Lethe,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_LIMOS,Limos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_LYSSA,Lyssa,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_MACHAI,Machai,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_MANIA,Mania,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_MOMUS,Momus,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_MOMOS,Momos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_MOROS_158,Moros,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_NIKE_159,Nike,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_OIZYS,Oizys,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PEITHO,Peitho,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PENIA,Penia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PHEME,Pheme,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PHOBOS,Phobos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PHILOTES,Philotes,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PONOS,Ponos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_POROS,Poros,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_POTHOS,Pothos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_SOPHROSYNE,Sophrosyne,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_SOTER,Soter,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_SOTERIA,Soteria,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_TECHNE,Techne,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_THANATOS_173,Thanatos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_THEMIS_174,Themis,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_THRASOS,Thrasos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_TYCHE_176,Tyche,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ZELOS,Zelos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ADIKIA,Adikia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_DIKAIOSYNE,Dikaiosyne,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_ELEOS,Eleos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_EPIPHRON,Epiphron,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_EUSEBEIA,Eusebeia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_HORKOS,Horkos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_KAIROS,Kairos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_KAKIA,Kakia,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_LITAE,Litae,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_NEIKEA,Neikea,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_NOMOS,Nomos,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PALIOXIS,Palioxis,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_POINE,Poine,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PRAXIS,Praxis,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PROIOXIS,Proioxis,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_PSEUDOLOGOI,Pseudologoi,canonical,English/Latinized,SRC_THEOI_DAIMONES
ENT_NEREUS,Nereus,canonical,English/Latinized,SRC_THEOI_SEA
ENT_DORIS,Doris,canonical,English/Latinized,SRC_THEOI_SEA
ENT_THAUMAS,Thaumas,canonical,English/Latinized,SRC_THEOI_SEA
ENT_PHORCYS,Phorcys,canonical,English/Latinized,SRC_THEOI_SEA
ENT_CETO,Ceto,canonical,English/Latinized,SRC_THEOI_SEA
ENT_EURYBIA_SEA,Eurybia Sea,canonical,English/Latinized,SRC_THEOI_SEA
ENT_TRITON,Triton,canonical,English/Latinized,SRC_THEOI_SEA
ENT_PROTEUS,Proteus,canonical,English/Latinized,SRC_THEOI_SEA
ENT_GLAUCUS,Glaucus,canonical,English/Latinized,SRC_THEOI_SEA
ENT_PALAEMON,Palaemon,canonical,English/Latinized,SRC_THEOI_SEA
ENT_LEUCOTHEA,Leucothea,canonical,English/Latinized,SRC_THEOI_SEA
ENT_THETIS,Thetis,canonical,English/Latinized,SRC_THEOI_SEA
ENT_AMPHITRITE,Amphitrite,canonical,English/Latinized,SRC_THEOI_SEA
ENT_GALATEA,Galatea,canonical,English/Latinized,SRC_THEOI_SEA
ENT_PSAMATHE,Psamathe,canonical,English/Latinized,SRC_THEOI_SEA
ENT_CYMODOCE,Cymodoce,canonical,English/Latinized,SRC_THEOI_SEA
ENT_DYNAMENE,Dynamene,canonical,English/Latinized,SRC_THEOI_SEA
ENT_PHERUSA,Pherusa,canonical,English/Latinized,SRC_THEOI_SEA
ENT_PROTO,Proto,canonical,English/Latinized,SRC_THEOI_SEA
ENT_ACTAEA,Actaea,canonical,English/Latinized,SRC_THEOI_SEA
ENT_DOTO,Doto,canonical,English/Latinized,SRC_THEOI_SEA
ENT_EUARNE,Euarne,canonical,English/Latinized,SRC_THEOI_SEA
ENT_HIPPONOE,Hipponoe,canonical,English/Latinized,SRC_THEOI_SEA
ENT_NESO,Neso,canonical,English/Latinized,SRC_THEOI_SEA
ENT_THALIA_NEREID,Thalia Nereid,canonical,English/Latinized,SRC_THEOI_SEA
ENT_EUDORA_NEREID,Eudora Nereid,canonical,English/Latinized,SRC_THEOI_SEA
ENT_SAO,Sao,canonical,English/Latinized,SRC_THEOI_SEA
ENT_SPEIO,Speio,canonical,English/Latinized,SRC_THEOI_SEA
ENT_GLAUCE,Glauce,canonical,English/Latinized,SRC_THEOI_SEA
ENT_CYMOTHOE,Cymothoe,canonical,English/Latinized,SRC_THEOI_SEA
ENT_MELITE,Melite,canonical,English/Latinized,SRC_THEOI_SEA
ENT_ACHELOOS,Acheloos,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ALPHEUS,Alpheus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_PENEUS,Peneus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_SCAMANDER,Scamander,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_SIMOEIS,Simoeis,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_CEPHISSUS,Cephissus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_EUROTAS,Eurotas,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_INACHUS,Inachus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_LADON,Ladon,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ASOPUS,Asopus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_SPERCHEIOS,Spercheios,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_HEBRUS,Hebrus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ERIDANUS,Eridanus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_NILE,Nile,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_STRYMON,Strymon,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_AESAR,Aesar,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ACHELOUS_MINOR,Achelous Minor,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ACHERON_RIVER,Acheron River,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_AESEPUS,Aesepus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_AXIUS,Axius,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_CAICUS,Caicus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_CLADEUS,Cladeus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_CYDNUS,Cydnus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_EVENUS,Evenus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ERYMANTHUS,Erymanthus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_GRANICUS,Granicus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ILISSUS,Ilissus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_ISMENUS,Ismenus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_MAEANDER,Maeander,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_MELES,Meles,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_NESSUS,Nessus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_SANGARIUS,Sangarius,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_SATNIOEIS,Satnioeis,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_TITARESIUS,Titaresius,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_XANTHUS,Xanthus,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_THERMODON,Thermodon,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_PARTHENIUS,Parthenius,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_RHESUS_RIVER,Rhesus River,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_PHASIS,Phasis,canonical,English/Latinized,SRC_THEOI_POTAMOI
ENT_AGANIPPE,Aganippe,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_AMALTHEIA,Amaltheia,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_AEGINA,Aegina,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ARETHUSA,Arethusa,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CYRENE,Cyrene,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_DAPHNE,Daphne,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ECHO,Echo,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_SYRINX,Syrinx,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_DIRCE,Dirce,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_SALMACIS,Salmacis,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CALYPSO,Calypso,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_MAIA,Maia,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ELECTRA_OCEANID,Electra Oceanid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_METIS,Metis,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_EURYNOME_OCEANID,Eurynome Oceanid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CLYMENE_OCEANID,Clymene Oceanid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ASIA,Asia,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_PLEIONE,Pleione,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CALLIRRHOE,Callirrhoe,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_PERSEIS,Perseis,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_IDYIA,Idyia,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_AETHRA_OCEANID,Aethra Oceanid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_BEROE,Beroe,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_EPHYRA,Ephyra,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_MELIA,Melia,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_PEITHO_OCEANID,Peitho Oceanid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_TYCHE_OCEANID,Tyche Oceanid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ADRASTEIA_NYMPH,Adrasteia Nymph,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_IDAIA,Idaia,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_NEDA,Neda,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CYLLENE,Cyllene,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CHELONE,Chelone,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CORYCIA,Corycia,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CORYCIAN_NYMPHS,Corycian Nymphs,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_MUSES_HELICONIAN,Muses Heliconian,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_HESPERIDES,Hesperides,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_AEGLE_HESPERID,Aegle Hesperid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ERYTHEIA_HESPERID,Erytheia Hesperid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_HESPERIA_HESPERID,Hesperia Hesperid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ARETHUSA_HESPERID,Arethusa Hesperid,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_LAMPADES,Lampades,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ORPHNE,Orphne,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_GORGYRA,Gorgyra,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_LEIMAKIDES,Leimakides,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_LIMNADES,Limnades,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_NAPAEAE,Napaeae,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_OREADS,Oreads,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_DRYADS,Dryads,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_HAMADRYADS,Hamadryads,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_MELIAE,Meliae,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_NAIADS,Naiads,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_NEREIDS,Nereids,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_OCEANIDS,Oceanids,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_NEPHELAE,Nephelae,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_AURAE,Aurae,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_MAENADS,Maenads,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_THYIADS,Thyiads,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_CRENAIAE,Crenaiae,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_HELEIONOMAI,Heleionomai,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_PEGAEAE,Pegaeae,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_POTAMEIDES,Potameides,canonical,English/Latinized,SRC_THEOI_NYMPHS
ENT_ARISTAEUS,Aristaeus,canonical,English/Latinized,SRC_THEOI_RUSTIC
